,Age,HighestEducation,HeightFeet,HeightInches,WeightPounds,DivorceCount,LongestRelationshipYears,LongestRelationshipMonths,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,country,crisis_currentlyworking,crisis_occupation,crisis_military,crisis_urbanicity,crisis_householdpeople,crisis_esssentialworkers,crisis_workersforcovid,crisis_householdrooms,crisis_healthinsurance,crisis_moneysupport,crisis_physicalhealth,crisis_mentalhealth,crisis_workershome,OtherDebtAmount
s084,45,4,5,5,180,0,25,11,3,4,142000,0.0,1,1.0,3.0,7.0,4.0,2,1,1,300,0,3,0,USA,6,homemaker/student,0,3,4,1,0,9,2,0,5,3,1,1.0
s085,36,3,5,8,175,0,0,6,1,0,50000,0.0,,1.0,1.0,1.0,1.0,1,1,0,60,0,0,0,usa,1,independent contractor,0,1,4,0,0,3,7,1,2,2,,
s086,33,5,5,6,190,0,2,0,3,0,24000,0.0,,1.0,1.0,7.0,1.0,3,0,1,0,0,2,0,US,1,Admin Assistant,0,3,3,0,,9,3,0,1,2,,
s087,36,4,5,4,144,0,2,0,6,0,52000,1.0,3,1.0,1.0,1.0,2.0,1,0,3,0,0,3,0,USA,2,Producer,0,3,0,0,,7,2,0,4,5,,
s088,47,4,5,4,160,0,3,2,5,0,20000,1.0,7,1.0,1.0,7.0,1.0,1,1,0,0,0,1,1,United States,1,Data Analyst,0,2,00,0,,8,5,0,3,3,,
s089,31,2,6,3,190,0,3,5,3,0,43000,0.0,1,1.0,1.0,1.0,1.0,0,0,1,50,0,0,0,USA,1,Management,0,5,0,0,0,2,2,0,5,5,,
s090,47,4,5,7,180,0,8,6,5,0,38000,0.0,,5.0,1.0,1.0,2.0,0,1,0,0,0,0,0,United States,1,writer,0,4,2,1,0,8,7,0,4,5,3,
s091,31,4,5,4,135,0,4,0,5,2,32800,0.0,,7.0,1.0,1.0,1.0,1,0,0,85,0,4,0,USA,1,IT Consultant,0,2,3,0,,11,5,0,5,5,,
s092,53,6,6,4,196,1,15,2,6,2,90000,1.0,7,6.0,1.0,1.0,3.0,1,0,0,0,0,2,0,United States,5,Attorney,0,2,0,0,,10,2,0,5,5,,
s093,51,4,5,4,175,0,7,6,5,2,77000,1.0,9,8.0,1.0,4.0,3.0,3,5,0,250,0,2,0,USA,1,Property Manager,0,1,1,0,,6,3,0,4,5,,
s094,43,5,5,10,172,2,6,0,5,0,60000,0.0,,1.0,1.0,7.0,3.0,0,0,0,0,0,3,0,United States,1,Seamstress,0,2,2,0,,7,7,0,3,3,,
s095,39,4,6,2,360,0,3,6,5,0,60000,0.0,,,,,,1,1,0,0,0,0,0,United States,3,na,0,2,2,0,,12,3,0,3,2,,
s096,47,3,5,3,130,0,29,4,5,2,35000,0.0,,1.0,1.0,6.0,2.0,0,2,3,300,0,0,1,United States,1,head of housekeeping,0,4,4,1,0,4,5,0,4,4,3,1.0
s097,63,2,5,7,135,0,38,4,3,2,95000,0.0,1,1.0,3.0,1.0,2.0,1,2,0,0,0,0,0,USA,1,Real Estate Agent,0,2,1,0,,3,2,0,4,3,,1.0
s098,39,6,5,7,97,0,19,10,4,0,225000,1.0,1,1.0,3.0,1.0,1.0,1,1,0,0,0,0,0,usa,6,not working,0,1,1,0,,5,2,0,1,3,,
s099,30,4,6,0,240,0,4,0,4,0,8000,0.0,,1.0,1.0,4.0,3.0,0,2,0,0,0,0,0,usa,4,None,0,1,4,0,,5,7,1,3,2,,
s100,47,2,5,6,175,0,27,5,1,2,69000,0.0,1,7.0,1.0,1.0,3.0,2,1,1,0,0,0,0,USA,6,MTURK,0,3,2,0,0,6,2,0,4,4,3,
s101,40,5,6,5,245,0,7,4,2,3,80000,1.0,8,7.0,1.0,1.0,1.0,2,0,0,0,0,0,0,United States of America,1,business analyst,0,5,4,0,,9,2,0,4,5,,1.0
s102,37,5,5,10,160,0,12,0,4,2,145000,1.0,10,7.0,1.0,1.0,1.0,0,0,0,0,0,1,0,USA,1,Business analyst,0,2,3,0,0,9,2,0,5,5,,1.0
s103,36,2,5,5,140,0,4,6,5,2,80000,0.0,,1.0,1.0,7.0,2.0,0,0,3,300,0,1,1,united states,6,N/A,0,3,4,1,0,9,5,0,4,5,3,2.0
s104,41,4,5,11,300,0,7,0,6,2,74999,0.0,,3.0,2.0,2.0,1.0,0,4,0,0,0,3,0,USA,1,IT liaison,0,2,4,0,,12,5,0,2,3,,1.0
